,sentence_1,sentence_1_bert
3808,외국인을 원하다면 나라 팔아요,외국인을 원하다면 나라를 팔아요
3817,예전에 11대였는데 현재 9대라서요~,예전에는 11대였는데 현재 9대라서요 ~
3831,"ㅋㅋ ‘갑서‘, ‘가게마씸’ 뉘앙스 차이 검증 했습니다","ㅋㅋ ㅋㅋ ‘ 갑서 ‘, ‘ 가게마씸 ’ 뉘앙스 차이 검증 했습니다"
3832,실시간 보다 더 긴장되는 30분 주기의 발표 효과..,"실시간 보다 더 긴장되는, 30분 주기의 발표 효과.."
3833,p.s. 취미가 엄청 다양하시네요!,p. s. 취미가 엄청이나 다양하시네요!
3835,더불어민주당은 남북경협이 황금알을 낳는 거위라는것을 알고 게시나요?,더불어민주당은 남북경협이란 황금알을 낳는 거위라는것을 알고 게시나요?
3840,당신은 바다에서 올라올 이유가 있나요?,당신은 이 바다에서 올라올 이유가 있나요?
3855,두자매 JTBC 스포라이트로 비춰 주세요...,두자매 JTBC 스포라이트로 다시 비춰 주세요...
3856,그냥 마시자마자 물 가득 채워놔요 ㅋㅋ,그냥 마시자마자 뜨거운 물 가득 채워놔요 ㅋㅋ
3858,앞으로 우리국민들은김정은에게 머리를 조아리며 살아야 됩니다,앞으로 우리국민들은김정은에게서 머리를 조아리며 살아야 됩니다
3859,"저도 클라이밍 해보고 싶었는데, 좋은 기회 감사합니다ㅎㅎ","저도 클라이밍 해보고 싶었는데, 좋은 기회로 감사합니다ㅎㅎ"
3866,현재 참여 기업을 모집하고 있습니다.,현재 참여 기업을 많이 모집하고 있습니다.
3868,정부정책의 풍선효과 제어력을 키워주세요,정부정책의 풍선효과와 제어력을 키워주세요
3877,이땅의 버려진 애국지사 후손들을 방치하는 것은 역사에 죄를 짓는것이라 생각합니다,이땅의 버려진 애국지사 후손들을 그대로 방치하는 것은 대한민국 역사에 죄를 짓는것이라 생각합니다
3888,허걱.. 요즘 제가 골초가 된 듯 ㅠㅠ,허걱.. 요즘 제가 골초가 된 듯. ㅠㅠ
3889,평범한 영화는 만들어낼 수 없는 구로사와의 재능!,그러나 평범한 영화는 만들어낼 수 없는 구로사와의 재능!
3894,배구선수 김연경 닮은 인디언 아이 나온다...,배구선수 김연경 닮은 미국 인디언 아이 나온다...
3898,현대 이기주의 속에서 빛을 발한다...,. 현대 이기주의 속에서 빛을 발한다...
3910,ㅋㅋ 웃느라 얼굴 망가진걸 이렇게 가려주셨군요,ㅋㅋ 웃느라 얼굴 망가진걸 이렇게 다 가려주셨군요
3912,이번 간호사 처우 개선안에 대해 반대합니다.,이번 간호사 처우 개선안에 이에 대해 반대합니다.
3916,오! 저도 요즘 다양한 요리에 도전중인데 멋져요!!,! 오! 저도 요즘 다양한 요리에 도전중인데 멋져요!!
3921,쑈를 하라! 쑈! 쑈! 쑈!,쑈를 하라!! 쑈! 쑈! 쑈!
3923,대기업 선발주 신고 제도가 필요합니다,대기업은 선발주 신고 제도가 필요합니다
3954,저희 집 냥이면 좋겠지만 인터넷에서 찾은 짤이에요,저희 집 냥이면 좋겠지만 인터넷에서 많이 찾은 짤이에요
3957,정말 알면알수록 역겨운 연예인!,! 정말 알면알수록 역겨운 연예인!
3980,의리 의리 의리 !!!!,의리 의리 의리 의리!!!!
3983,올해 한국 사극영화들 왜이럼?,- 올해 한국 사극영화들 왜이럼?
3989,밥과 물을 멀리 떨어뜨려보시는 것을 추천!,밥과 함께 물을 멀리 떨어뜨려보시는 것을 추천!
3990,아.. 정신… 결국 저희집 문제였던걸로..,아.. 내 정신 … 결국 저희집 문제였던걸로..
3993,포즈는 심신안정을 위한 이너피스~,아래 포즈는 심신안정을 위한 이너피스 ~
4002,외관에서 느껴진 불안함은 실내 분위기와 음식맛으로 모두 불식 되었습니다.,외관에서 느껴진 모든 불안함은 실내 분위기와 음식맛으로 모두 불식 되었습니다.
4011,ㅋㅋ요즘 영화만 보다가 이걸보니 신선하네요,ㅋㅋ요즘은 영화만 보다가 이걸보니 신선하네요
4015,옛날에 봤는디.. 얘기좀 진행되나 싶더니 끝=_=,옛날에 처음 봤는디.. 얘기좀 진행되나 싶더니 끝 = _ =
4016,여지껏 봤던 단편에서 가장 잘 잡힌 케릭터!,"여지껏 봤던 단편에서, 가장 잘 잡힌 케릭터!"
4020,두 대표 섹시배우가 모였는데도 그리 섹시하지 않는다,두 대표 섹시배우가 모였는데도 그리 많이 섹시하지 않는다
4024,요렇게 수작업 줄여주는게 기술의 힘?,그럼 요렇게 수작업 줄여주는게 기술의 힘?
4055,청와대는 고등학교들의 야간자율학습하지 않게 해주세요.,청와대는 고등학교들의 야간자율학습하지 않게 조치 해주세요.
4057,작가는 가난을 먹고 살지 않습니다.,작가는 결코 가난을 먹고 살지 않습니다.
4075,미용업계에 현실에 대해서 말씀드립니다.,미용업계에 현실에 대해서 많이 말씀드립니다.
4077,너무 어거지 설정과 매끄럽지 못한 연출,너무 어거지 설정과 매끄럽지 못한 캐릭터 연출
4094,처음부터 이름과는 반대로 달달한 ph-1~~,처음부터 이름과는 전혀 반대로 달달한 ph - 1 ~ ~
4100,같이 기획해보아요! : ),같이 기획해보아요!! : )
4101,박 일 보다 낫네요.,박 씨 일 보다 낫네요.
4102,3.3% 프리랜서 학원종사자 종소세 및 실업급여 관련,3. 3 % 프리랜서 학원종사자 종소세제 및 실업급여 관련
4105,진짜 내가 이종현이랑 강민혁볼라고사서봤긴봤는데 이건좀 아니다.,진짜 내가 이종현이랑 강민혁볼라고사서봤긴봤는데. 이건좀 아니다.
4118,게임 확률 데이터 공개,온라인 게임 확률 데이터 공개
4123,저 진짜 셔츠 구매하고 싶어요..!,저는 진짜 셔츠 구매하고 싶어요..!
4128,4조원대 도박사이트 한국총책임자 제보,4조원대 도박사이트에 한국총책임자 제보
4132,사진으로 확인할 수 없지만 잭슨피자였습니다..,직접 사진으로 확인할 수 없지만 잭슨피자였습니다..
4141,"세기 ""레니 할린, 작품은 ""마인트헌터, 뿐인가!? 연출이 tv판 수준!",""" 세기 "" 레니 할린, 작품은 "" 마인트헌터, 뿐인가!? 연출이 tv판 수준!"
4144,이것도 그렇고 주유소 습격사건도 그렇고.......,"이것도 그렇고, 주유소 습격사건도 그렇고......."
4150,국회 한전주주 더 이상 못살겠다 국토부 전수조사 해주세요.,국회 한전주주 더 이상 못살겠다 국토부가 전수조사 해주세요.
4170,저도 들어가서 응원하도록 하겠습니다.,저도 들어가서 응원하도록 열심히 하겠습니다.
4171,일 하려고 내보내니 다시 안아달라고 우는...,일 하려고 내보내니 다시 안아달라고 엉엉 우는...
4179,그럼 내일 우리팀은 무조건 이기는 겁니다.,"그럼, 내일 우리팀은 무조건 이기는 겁니다."
4181,저요!!! 어제부터 보는데 엄청 빠져들고 있어요 ㅋㅋ,아 저요!!! 어제부터 보는데 엄청 빠져들고 있어요 ㅋㅋ
4202,"이시대에 여성인권에 필수적인, 여성인권을 위하여...","이시대에 여성인권에 필수적인, 여성인권을 찾기 위하여..."
4251,중국도 아니고 정부가 인터넷 검열하는게 말이됩니까,중국도 아니고 정부가 인터넷 검열하는게 무슨 말이됩니까
4270,여수화양농공단지 공기오염 해결과 학교석면제거작업의 철저화 촉구,여수화양농공단지 공기오염 해결과 학교석면제거작업의 철저화를 촉구
4271,마치 제 미래 이야기 같네요.. ㅎㅎ,마치 이게 제 미래 이야기 같네요.. ㅎㅎ
4289,"이로써 구성원 모두가 가장 최신의 회사의 비전, 미션, 밸류, 방향, 제품 등을 이해하고, 내/외부와 공통 선상에서 커뮤니케이션이 가능해 지는 효과가 발생합니다.","이로써 구성원 모두가 각각 가장 최신의 회사의 비전, 미션, 밸류, 방향, 제품 등을 이해하고, 내 / 외부와 공통 선상에서 커뮤니케이션이 가능해 지는 시너지 효과가 함께 발생합니다."
4298,송전탑 직선거리 220m앞 공립유치원.초등학교.중학교 2천명 학생들...안전하다고 합니다.ㅠㅠ,송전탑 직선거리가 220m앞 공립유치원. 초등학교. 중학교 2천명 학생들... 안전하다고 합니다. ㅠㅠ
4313,역싀…! 뭔가 인사부터 친근했는데!!,! …! 뭔가 인사부터 친근했는데!!
4316,세상에 큰일 날 뻔 했네요!!,세상에 큰일 날 뻔도 했네요!!
4318,개헌안 발의에 대해 청원합니다.,대통령 개헌안 발의에 대해 청원합니다.
4321,아니면 관세법이 잘못 된 것인가요?,아니면 관세법이 좀 잘못 된 것인가요?
4333,오~ 한개 뿌리에 저 정도 달린건가요?,오 ~ 한개 뿌리에 저 정도 정도 달린건가요?
4334,주목 받으면 힘들어한다고 하시니 주목이 필요할땐 저를 찾아주세요ㅎㅎ,주목 받으면 힘들어한다고 하시니 주목이 필요할땐 꼭 저를 찾아주세요ㅎㅎ
4335,교육제도 그만 바꿔주세요..혼란이 너무 큽니다,교육제도 그만좀 바꿔주세요.. 혼란이 너무 큽니다
4336,우리는 떠나는 새가 아니라 새가 앉아 쉴 수 있는 나무가지 입니다,우리는 그냥 떠나는 새가 아니라 새가 앉아 쉴 쉴 수 있는 나무가지 입니다
4343,미군 주둔 비용 협상과 북한 비핵화 제재 엇박자,미군 주둔 비용 협상과 북한의 비핵화 제재 엇박자
4344,삼청동에는 힙한 곳이 많군요...,. 삼청동에는 힙한 곳이 많군요...
4352,사건이 해결되지 않은 몰카 피해자입니다.,사건이 해결되지 않은 채 몰카 피해자입니다.
4359,일본영화는 쓸데없는 오버도 많고 왤케 콩트같냐 ;;,일본영화는 쓸데없는 오버도 많고 왤케 콩트같냐 ; ; ;
4363,막장 가족들의 어이없는 .....행동들이 무척이나 불편했다!,막장 가족들의 어이없는 행동..... 행동들이 무척이나 불편했다!
4364,하물며 옆에보고있던 어린애들도 웃지않더라,그런데 하물며 옆에보고있던 어린애들도 웃지않더라
4368,편 보다 못한내용과 설정..,편 보다 못한내용과의 설정..
4377,해보니 글자는 안되고 사람모양? 만 디텍팅해서 증강현실로 만들어줘요.,해보니 글자는 안되고 사람모양? 만을 디텍팅해서 증강현실로 만들어줘요.
4382,뭐 어디서 놀라고 무서워해야하는거냐?,뭐 어디서 놀라고 나서 무서워해야하는거냐?
4396,혹시 참여의사가 있지만 12월 3일 금요일 저녁 안되시는분 있을까요?!~,혹시 참여의사가 좀 있지만 12월 3일 금요일 저녁 안되시는분 있을까요?! ~
4404,말씀 나누다보니 작년 9월에 들어오셨던데 체감하는 바는 최소 2년은 함께 하신듯한 느낌입니다!,말씀 나누다보니깐 작년 9월에 들어오셨던데 체감하는 느낀 바는 최소 2년은 함께 하신듯한 느낌입니다!
4423,인터넷 휴대폰 구입시 정말 아쉬운 부분,인터넷 휴대폰 구입시 정말 아쉬운 부분 부분
4426,아무리 법으로 친권 양육권이 없더라도 당신은 부모입니다,아무리 법으로 친권 양육권이 따로 없더라도 당신은 부모입니다
4427,자 이제 시작이야 짤 넘나 적절! ㅋㅋㅋ,자 이제 시작이야 짤 넘나 딱 적절! ㅋㅋㅋ
4433,up로고를 활용해서 UP이 들어간 다양한 문구도 좋을 것 같아요!,up로고를 활용해서 UP이 들어간 더 다양한 문구도 좋을 것 같아요!
4439,이 게임도 추천드려요 ㅎㅎ,이 게임도 추천드려요. ㅎㅎ
4441,오 ㅎㅎ 전 좋아요!!!,오 ㅎㅎ 전 너무 좋아요!!!
4455,아직 잘 되지는 않더군요 ㅋㅋ,아직 잘 되지는는 않더군요 ㅋㅋ
4456,2019년 1월1일 신년특집 JTBC뉴스룸을 청와대에서 방송해주세요,2019년 1월1일 신년특집 JTBC뉴스룸을 청와대에서 바로 방송해주세요
4461,반민족행위특별조사위원회를 다시 가동하여 주세요,반민족행위특별조사위원회를 다시금 가동하여 주세요
4463,증권사도 개혁해야 투자 활성화로 경제활동 좋아질듯,증권사도 개혁해야 … 투자 활성화로 경제활동 좋아질듯
4464,통신사 포인트 차라리 불우이웃에게라도 쓸수있게해주세요,통신사의 포인트 차라리 불우이웃에게라도 쓸수있게해주세요
4468,한번 더 하면 1로 바뀌는 군요..,그런데 한번 더 하면 1로 바뀌는 군요..
4472,7월에 빈 시간 나올거라고...ㄷ,7월에 빈집 시간 나올거라고... ㄷ
4477,그래도 한 대 더 찾아야해요 ㅎㅎ,그래도 한 대는 더 찾아야해요 ㅎㅎ
4491,"완전 리얼 액션 작살.,.,.,.","완전한 리얼 액션 작살.,.,.,."
4499,오늘 쉬는 날이었군요? ㅠㅠ,오늘 쉬는 날이었군요?? ㅠㅠ
4503,날씨 조금만 따뜻해지면 진짜 고고 하시죠!!!!!!,날씨 조금만 따뜻해지면 진짜 빨리 고고 하시죠!!!!!!
4519,샌프란에서 모히또 너무 좋은데요!!?,샌프란에서 모히또 너무 너무 좋은데요!!?
4520,대출규제 더 강하게 해야합니다 !!!!,대출규제 더 더 강하게 해야합니다!!!!
4531,제가 호스트하니 시간되시면 오셔도 좋습니다.,물론 제가 호스트하니 시간되시면 오셔도 좋습니다.
4532,ㅎㅎ 넵 반성하고 산책해보겠습니드아~!,ㅎㅎ 넵 반성하고 천천히 산책해보겠습니드아 ~!
4546,법무부 장관 조치 바랍니다.,법무부 장관의 조치 바랍니다.
4558,제 눈에 몇몇개는 그래도 괜찮아 보이는… ㅋㅋㅋ,제가 눈에 몇몇개는 그래도 괜찮아 보이는 … ㅋㅋㅋ
4569,"너무 보기 좋네요 가족들과 함께,,,","너무 보기 좋네요. 가족들과 함께,,,"
4573,"문재인정권은 빨리 김기식 사임 발표하시오,","문재인정권은 하루 빨리 김기식 사임 발표하시오,"
4574,학교에도 직장 어린이집을 신설해주세요,학교에도 직장형 어린이집을 신설해주세요
4576,"평창 올림픽 오뎅호떡 가격 논란,호떡 2개 5000원","평창 올림픽 오뎅호떡 가격 논란, 호떡 2개에 5000원"
4578,국가원수에 대한 예의에 어긋나는 글은 원천 차단해 주세요.,국가원수에 대한 예의에 어긋나는 이 글은 원천 차단해 주세요.
4584,이 느린 이야기가 세계 감독들이 뽑았던 영화 역사상 최고의 영화일 수 있는 것은 모두의 잃어버린 세계이기 때문,이 느린 이야기가 세계 감독들이 뽑았던 영화 역사상서 가장 최고의 영화일 할 수 있는 것은 모두의 잃어버린 세계이기 때문
