,sentence_2,sentence_2_bert
3786,이분들은 제외해주시고 새로 아래 두 분 추가 요청드립니다!,이분들은 제외해주시고 새로 아래 두 분은 추가 요청드립니다!
3787,자다가 깨서 ㅋㅋ ㅠ,자다가 깨서 ㅋㅋ ㅋㅋ ㅠ
3794,혹시 더 좋은 의견 있으시면 댓글 부탁드립니다!,혹시 더 좋은 의견 있으시면 댓글 많이 부탁드립니다!
3795,고위공무원(구청 국장)이 10여년간 유부녀와 불륜관계는 구속기소로 처벌해야 합니다.,구청 고위공무원 ( 구청 국장 ) 이 10여년간 유부녀와 불륜관계는 구속기소로 처벌해야 합니다.
3799,"생명에 위협을 느끼는 욕설과 전화, 미행등의 위협 에도 법적으로 해결 할 수 있는 방법이 없어 불안 합니다.","생명에 위협을 느끼는 욕설과 전화, 미행등의 위협들 에도 전혀 법적으로 해결 할 수 있는 방법이 없어서 불안 합니다."
3808,나라를 지키는 군인들을 위해!!,이 나라를 지키는 군인들을 위해!!
3817,오늘이 8주차인 것으로 알고 있어서요!,오늘이 8주차인 것으로 알고는 있어서요!
3831,"영어 이름뒤에 ‘께’, ‘께서’와 같은 걸 붙일지 말지 입니다.","영어 이름뒤에 ‘ 께 ’, ‘ 께서 ’ 와 같은 걸 붙일지, 말지 입니다."
3835,문재인 대통령은 지금 대한민국이 선진국이라고 생각하는가?,문재인 전 대통령은 지금 대한민국이 선진국이라고 생각하는가?
3840,후안무치 라는 말을 아시기는 하시나요?,후안무치 라는 말을 아시기는 어떻게 하시나요?
3855,무궁화를 더 많이 심어주세요...,무궁화를 더 많이 많이 심어주세요...
3856,기본적인 것만 해먹어서요 ㅋㅋ,기본적인건 것만 해먹어서요 ㅋㅋ
3858,학부모는 내 자식을 유아교육 전문가에게 교육받게할 의무와 권리가 있습니다,학부모는 내 자식을 모든 유아교육 전문가에게 교육받게할 의무와 권리가 있습니다
3859,저도 가고 싶었는데 너무 아쉽.,사실 저도 가고 싶었는데 너무 아쉽.
3861,과연 고맙다고 할 수 있을지!!!,과연 고맙다고 할 수는 있을지!!!
3865,스텝업이건 스트리트댄스건 보는동안 즐거웠다면 그만,물론 스텝업이건 스트리트댄스건 보는동안 즐거웠다면 그만
3866,그리고 아래와 같이 유투브도 운영하고 있습니다.,그리고 현재 아래와 같이 유투브도 운영하고 있습니다.
3868,불편한 용기의 정책참여 과정을 투명화 해주십시요,부디 불편한 용기의 정책참여 과정을 투명화 해주십시요
3877,경기도민의 삶을 책임져야 할 경기도지사를 음해하는 것은 경기도민을 위협하는 것과 같습니다.,경기도민의 삶을 책임져야 할 경기도지사를 너무 음해하는 것은 오히려 경기도민을 위협하는 것과 같습니다.
3888,흡흡.. 저도 아마 참여가 힘들듯해요 ㅠ,흡흡.. 저도 아마 투표 참여가 힘들듯해요 ㅠ
3889,한국형 멜로의 시초라 할 수 있는 추억 영화.,한국형 멜로의 한 시초라 할 수 있는 추억 영화.
3910,헛 ㅋㅋㅋ 힘든길을 가셨군요..,헛 ㅋㅋㅋ 힘든길을 많이 가셨군요..
3912,비행기 테러에 대해 궁금합니다.,비행기 폭탄 테러에 대해 궁금합니다.
3916,왁! 저도 여기 너무 좋아해요!!!,왁! 저도 여기를 너무 좋아해요!!!
3921,마츠다 쇼타! 연기 좋다,마츠다 쇼타! 연기 너무 좋다
3954,저희 멤버들 홍콩 오시면 모시고 싶은 식당입니다.,저희 멤버들 홍콩 오시면 모시고 싶은 중국 식당입니다.
3957,정말 아직도 가끔씩 생각나는 영화!,그리고 정말 아직도 가끔씩 생각나는 영화!
3963,"우리아이들은 공정한 사회에서 살 수 없는건가요?_(적폐청산, 정형식판사)","우리아이들은 공정한 사회에서 살 수 밖에 없는건가요? _ ( 적폐청산, 정형식판사 )"
3968,3년만의 축제라 너무 신났네요ㅎㅎㅎ,3년만의 첫 축제라 너무 신났네요ㅎㅎㅎ
3983,일본영화는 왜 이렇게 재미없냐,일본영화는 또 왜 이렇게 재미없냐
3989,관심 있으신 분들은 한 번 살펴보시는 것도 좋겠네요!,관심 있으신 분들은 한 번쯤 살펴보시는 것도 좋겠네요!
4002,표정에서 보이시는것 처럼 짚불맛이 살아있는 최고의 고기였습니다.,표정에서 보이시는것 처럼 짚불맛이 살아있는게 최고의 고기였습니다.
4011,드라마 한편만 봐도 눈물이 많이 나네요~ㅎ,드라마 한편만 봐도 정말 눈물이 많이 나네요 ~ ㅎ
4015,처음엔 이거뭐야 싶더니 나중에는 푹 빠져버렸음. 마사라무비의 지존,처음엔 이거뭐야 싶더니 나중에는 푹 빠져버렸음. 게다가 마사라무비의 지존
4016,정말 재밌게 봤던 드라마.,정말 재밌게 잘 봤던 드라마.
4020,정공법으로 나가지만 전혀 지루하지 않다,정공법으로 잘 나가지만 전혀 지루하지 않다
4024,요롷게 요롷게 작게 잎이 나는!,작게 자란 잎이 나는!
4027,혹시가시게 되면 부탁을 드려보오겠습니다.,혹시가시게 되면 꼭 부탁을 드려보오겠습니다.
4028,택시도 버스나 화물차같이 속도제어 해주세요,택시도 버스나 화물차같이 속도제어를 해주세요
4035,JTBC의 종편 퇴출을 청원합니다,JTBC의 종편 채널 퇴출을 청원합니다
4055,공중파 방송에서의 팩트체크가 되지 않은 방송이 나가지 않게 해주세요.,공중파 방송에서의 팩트체크가 되지는 않은 방송이 나가지 않게 해주세요.
4057,개고기는 개인의 취향일 뿐이지 불법은 아닙니다.,"개고기는 개인의 취향일 뿐이지, 불법은 아닙니다."
4075,장애인 카드에 대해서 할말이 있습니다.,장애인 카드에 대해서는 할말이 있습니다.
4077,지극히 폴란스키 스러운 매혹적인 작품,지극히도 폴란스키 스러운 매혹적인 작품
4094,12번째~~ 이번주는 <PERSON> 님과 함께 했습니다~~,12번째 ~ ~ ~ 이번주는 < PERSON > 님과 함께 했습니다 ~ ~
4100,안방에서 같이 자는 둘째입니다 :),안방에서 같이 자는 자는 둘째입니다 : )
4101,박하진이 저때는 저렇게 어렸군.,박하진이 저때는 정말 저렇게 어렸군.
4102,건설업 등 3D업종 근로환경 개선 및 주5일제 미시행사업장 처벌 강화,건설업 등 3D업종의 근로환경 개선 개선 및 주5일제 미시행사업장 처벌 강화
4105,내가 이걸 진짜 봤어.,내가 이걸 보고 진짜 봤어.
4106,ㅋㅋ 진짜 뮤츄얼을 세명이나!!!,ㅋㅋ ㅋㅋ 진짜 뮤츄얼을 세명이나!!!
4118,스마트폰 기기값 통신요금 하락,스마트폰 기기값 통신요금도 하락
4123,저 노래에 저 어꺠춤을 추며 노는 상상했습니다..!,저 노래에서 저 추며 노는 상상했습니다..!
4128,1950년대 호주기자의 한국유권자에 조언,1950년대 호주기자의 한국유권자에 대한 조언
4132,유머라고 하기에는 취향을 탈 수 있지만...,유머라고 하기에는 개인 취향을 탈 수 있지만...
4135,기대 안하고 봤는데 정말 재밌었어요!,기대 안하고 봤는데 정말 너무 재밌었어요!
4141,"최종대사 ""짜이찌엔!"", ""빵!"" 정말 감동이었습니다.","최종대사 "" 짜이찌엔! "",, "" 빵! "" 정말 감동이었습니다."
4144,.......... 이건 영화가 아냐...,.......... 이건 영화 영화가 아냐...
4150,"세금으로 더 이상 퍼주기 포퓨리즘 일자리정책 중단해 주세요,","세금으로만 더 이상 퍼주기 포퓨리즘 일자리정책 중단해 주세요,"
4170,넵 저도 다시 생각해보도록 하겠습니다!,넵 저도 다시 생각해보도록 준비 하겠습니다!
4171,메시지 안 보고 넘겼었는데...,메시지 안 보고 그냥 넘겼었는데...
4179,영상의 날씨는 무조건 달리고 봅니다.,영상의 날씨는 무조건 따라 달리고 봅니다.
4181,오오옷!! 진짜 무리지어서 많이 다니네요!!!ㅋㅋ,오오옷!! 진짜 너무 무리지어서 많이 다니네요!!! ㅋㅋ
4202,하지만 음악 영화라고 할 수는 없다...,하지만 꼭 음악 영화라고 할 수는 없다...
4211,돈벌기 힘들어서. . .,돈벌기 힘들어서....
4213,지폐에 그려진 인물화를 바꿔주세요,이 지폐에 그려진 인물화를 바꿔주세요
4237,"국회 의장, 상임 위원 특수 활동비도 전면 폐지 청원...","국회 의장, 상임 위원, 특수 활동비도 전면 폐지 청원..."
4251,하루전도 아니고 지금이게 말이 된다고생각하시나요?,이게 하루전도 아니고 지금이게 말이 된다고생각하시나요?
4270,권선2동 농수산물 시장 소음공해 및 빛 피해 조사 및 보상 당장 실시하라,권선2동 농수산물 시장 소음공해 및 가로등 빛 반사 피해 조사 및 보상 당장 실시하라
4271,사무실 폰부스가 마치 투표소 같아 보였습니다..ㅋㅋ,사무실 폰부스가 마치 투표소 같아서 보였습니다.. ㅋㅋ
4272,사무실에 가습기가 여러대 왔습니다.,사무실에 가습기가 이렇게 여러대 왔습니다.
4289,"각 데이터마다 비영리적으로 사용가능, 영리 사용 가능 등 여러가지 수칙이 있는 것으로 알고있습니다","각 데이터마다 비영리적으로 사용가능, 영리 사용 가능성 등 여러가지 수칙이 있는건 것으로 알고있습니다"
4298,자녀 장려금 소득제한 상향요청(2015년 시행 이후 4천만원 동결.... 최저임금은 2천원 올랐네요),자녀 장려금 소득제한율 상향 상향요청 ( 2015년 시행 이후 4천만원 동결.... 최저임금은 2천원 올랐네요 )
4316,덕분에 많은 힘 얻어갔어요!!,덕분에 많은 양의 힘 얻어갔어요!!
4318,휴대폰에 관련된 청원 요청합니다.,휴대폰에 관련된 사용자 청원 요청합니다.
4321,과연 정상회담을 언론이 말하는 것처럼 잘하고 온 걸까요?,과연 정상회담을 두고 언론이 말하는 것처럼 잘하고 온 걸까요?
4333,오~ 버터 소량으로도 가능한가요?,그럼 오 ~ 버터 소량으로도 가능한가요?
4334,"어떤 이슈가 생기거나, 도움이 필요할 때 적극 활용해주세요!","어떤 이슈가 생기거나, 또는 도움이 필요할 때 적극 활용해주세요!"
4335,주 52시간 근로... 둘째아이를 죽여야할지 살려야할지.. 고민입니다.,주제 52시간 근로... 둘째아이를 죽여야할지 살려야할지.. 고민입니다.
4336,특히 마지막 연설은 우리가 늘 이상적으로 꿈꾸던 리더 그 이상에 모습,""" 특히 마지막 연설은 우리가 늘 이상적으로 꿈꾸던 리더 그들의 이상에 모습"
4343,불법체류 외국인을 추방해야 합니다.,불법체류한 외국인을 추방해야 합니다.
4344,도자기는 물 빠지는 곳이 없군요..,도자기는 아직 물 빠지는 곳이 없군요..
4347,앜ㅋㅋ 또 퀄리티 있게 ㅋㅋㅋ,ㅋㅋㅋ 또 퀄리티 있게 ㅋㅋㅋ
4352,가상화폐 거래하지 않는 사람이 대부분입니다.,현재 가상화폐 거래하지 않는 사람이 대부분입니다.
4363,........최악의 기억이 다시 떠올랐다.,........ 최악의 기억이 다시금 떠올랐다.
4364,이건 나도 따라올 수 있겠더라,이건 나도 잘 따라올 수 있겠더라
4368,젊음과 열정 격정과 두려움..그 모든 것이 묻어나는 영화..,젊음과 열정 격정과 두려움.. 그 모든 것이 묻어나는 이 영화..
4377,"때마침 그 주가 벚꽃 만개 시즌이라, 같이 코워킹하는 번개를 모집해보려하는데요.","때마침, 그 다음 주가 벚꽃 만개 시즌이라, 같이 코워킹하는 번개를 모집해보려하는데요."
4380,인생 첫 마라톤 성공했습니다!!,내 인생 첫 마라톤 성공했습니다!!
4382,요즘 어디서 볼수 있어요?,요즘은 어디서 볼수 있어요?
4396,혹시 우리 회사에 에타글 게시 가능하신 분들은 얼마나 계시나요!!..!!!,혹시 우리 회사에 에타글 게시 가능하신다는 분들은 얼마나 계시나요!!..!!!
4402,다같이 빨리 극장으로 궈궈싱,다같이 빨리 극장으로 궈 궈궈싱
4404,처음 대면하는 것 같았는데 들어오신지 한달 조금 더 되셨더라고요 ㅋㅋㅋ,처음 대면하는 것도 같았는데 들어오신지 한달 조금은 더 되셨더라고요 ㅋㅋㅋ
4423,차량구입시 실사용주가 차량을 구매하도록 조치 바랍니다,차량구입시 실사용주가 해당 차량을 구매하도록 조치 바랍니다
4426,성적 자기 결정권 기준이 모호 합니다,성적 자기 판단 결정권 기준이 모호 합니다
4427,어맛!! 넘나 귀여워요!! ㅎㅎㅎ,어맛!! 넘나넘 귀여워요!! ㅎㅎㅎ
4433,이로써 ENFP가 한 분 더 추가되어 더욱 활기찬 CE팀이 될 것 같네요!,그리고 이로써 ENFP가 한 분 더 추가되어 더욱 활기찬 CE팀이 될 것 것 같네요!
4439,롤 파티 한번 해도 좋겠네요 ㅎㅎ,그럼 롤 파티 한번 해도 좋겠네요 ㅎㅎ
4441,오! 빠른 초대 감사드립니다~!!!,오!! 빠른 초대 감사드립니다 ~!!!
4446,빠른 수정 속도가 최고라는 의미였어요.^^,빠른 수정 속도가 최고라는 그런 의미였어요. ^ ^
4455,가보고 싶은 곳이 많아요 ㅋㅋㅋ,요즘 가보고 싶은 곳이 많아요 ㅋㅋㅋ
4456,2018년 3월 22일 새벽2시 아들뻘되는 31살에게 우리아버지같은 64세 어른이 폭행을 당하셨습니다.,2018년 3월 18 22일 새벽2시 아들뻘되는 초등학생 31살에게 우리아버지같은 64세 어른이 폭행을 당하셨습니다.
4461,누진제 한시적 완화 에너지특별자금특별법으로 정하세요.,누진제 적용 한시적 완화 에너지특별자금특별법으로 정하세요.
4463,다주택자 부동산 정책 및 대출 규제로 지방 부동산 다 죽습니다.,전국 다주택자 부동산 정책 및 대출 규제 규제로 지방 부동산 다 죽습니다.
4464,LPG차량 일반인도 쓰게 해주세요,LPG차량 일반인도 쓰게끔 해주세요
4468,훅팀의 퍼포먼스도 한번 봐주세요..,훅팀의 멋진 퍼포먼스도 한번 봐주세요..
4477,한 장 손으로 그려 놔야겠어요 ㅎㅎ,한 장 손으로 그려 놔야겠어요. ㅎㅎ
4499,이게 어려운 일이 었어요?,이게 어려운 어떤 일이 었어요?
4503,"기침하신다는데, 코로나 아니길 바랄게요!!!!!!","자주 기침하신다는데, 코로나 아니길 바랄게요!!!!!!"
